,DEPT,WOBAVG,FLOWIN,SURFRPM,TORQUEAV,PUMPAVG
92,2586.2000000000003,6.624,4496.4497,-999.25,2.7276,168.3734
93,2586.3,6.116,4496.4497,-999.25,2.6115,167.6756
94,2586.4,6.116,4496.4497,-999.25,2.6115,167.6756
95,2586.5,6.116,4496.4497,-999.25,2.6115,167.6756
96,2586.6000000000004,6.116,4496.4497,-999.25,2.6115,167.6756
97,2586.7000000000003,6.116,4496.4497,-999.25,2.6115,167.6756
98,2586.8,5.7256,4496.4497,-999.25,2.5156,167.2733
99,2586.9,5.7256,4496.4497,-999.25,2.5156,167.2733
100,2587.0,5.7256,4496.4497,-999.25,2.5156,167.2733
101,2587.1000000000004,5.7256,4496.4497,-999.25,2.5156,167.2733
102,2587.2000000000003,5.7256,4496.4497,-999.25,2.5156,167.2733
103,2587.3,5.37,4496.4497,-999.25,2.4258,166.9585
104,2587.4,5.37,4496.4497,-999.25,2.4258,166.9585
105,2587.5,5.37,4496.4497,-999.25,2.4258,166.9585
106,2587.6000000000004,5.37,4496.4497,-999.25,2.4258,166.9585
107,2587.7000000000003,5.37,4496.4497,-999.25,2.4258,166.9585
108,2587.8,5.1368,4496.4497,-999.25,2.4103,166.6593
109,2587.9,5.1368,4496.4497,-999.25,2.4103,166.6593
110,2588.0,5.1368,4496.4497,-999.25,2.4103,166.6593
111,2588.1000000000004,5.1368,4496.4497,-999.25,2.4103,166.6593
112,2588.2000000000003,5.1368,4496.4497,-999.25,2.4103,166.6593
113,2588.3,4.9336,4496.4497,-999.25,2.4132,166.3638
114,2588.4,4.9336,4496.4497,-999.25,2.4132,166.3638
115,2588.5,4.9336,4496.4497,-999.25,2.4132,166.3638
116,2588.6000000000004,4.9336,4496.4497,-999.25,2.4132,166.3638
117,2588.7000000000003,4.9336,4496.4497,-999.25,2.4132,166.3638
118,2588.8,5.0272,4496.4497,-999.25,2.3954,166.5661
119,2588.9,5.0272,4496.4497,-999.25,2.3954,166.5661
120,2589.0,5.0272,4496.4497,-999.25,2.3954,166.5661
121,2589.1000000000004,5.0272,4496.4497,-999.25,2.3954,166.5661
122,2589.2000000000003,5.0272,4496.4497,-999.25,2.3954,166.5661
123,2589.3,5.1796,4496.4497,-999.25,2.3733,166.8671
124,2589.4,5.1796,4496.4497,-999.25,2.3733,166.8671
125,2589.5,5.1796,4496.4497,-999.25,2.3733,166.8671
126,2589.6000000000004,5.1796,4496.4497,-999.25,2.3733,166.8671
127,2589.7000000000003,5.1796,4496.4497,-999.25,2.3733,166.8671
128,2589.8,5.332,4496.4497,-999.25,2.3819,167.086
129,2589.9,5.332,4496.4497,-999.25,2.3819,167.086
130,2590.0,5.332,4496.4497,-999.25,2.3819,167.086
131,2590.1000000000004,5.332,4496.4497,-999.25,2.3819,167.086
132,2590.2000000000003,5.332,4496.4497,-999.25,2.3819,167.086
133,2590.3,5.4844,4496.4497,-999.25,2.3953,167.2923
134,2590.4,5.4844,4496.4497,-999.25,2.3953,167.2923
135,2590.5,5.4844,4496.4497,-999.25,2.3953,167.2923
136,2590.6000000000004,5.4844,4496.4497,-999.25,2.3953,167.2923
137,2590.7000000000003,5.4844,4496.4497,-999.25,2.3953,167.2923
138,2590.8,5.8192,4496.4497,-999.25,2.3961,167.7528
139,2590.9,5.8192,4496.4497,-999.25,2.3961,167.7528
140,2591.0,5.8192,4496.4497,-999.25,2.3961,167.7528
141,2591.1000000000004,5.8192,4496.4497,-999.25,2.3961,167.7528
142,2591.2000000000003,5.8192,4496.4497,-999.25,2.3961,167.7528
143,2591.3,6.1748,4496.4497,-999.25,2.3954,168.2424
144,2591.4,6.1748,4496.4497,-999.25,2.3954,168.2424
145,2591.5,6.1748,4496.4497,-999.25,2.3954,168.2424
146,2591.6000000000004,6.1748,4496.4497,-999.25,2.3954,168.2424
147,2591.7000000000003,6.1748,4496.4497,-999.25,2.3954,168.2424
148,2591.8,6.0112,4496.4497,-999.25,2.3882,167.9803
149,2591.9,6.0112,4496.4497,-999.25,2.3882,167.9803
150,2592.0,6.0112,4496.4497,-999.25,2.3882,167.9803
151,2592.1000000000004,6.0112,4496.4497,-999.25,2.3882,167.9803
