,DEPT,WOBAVG,FLOWIN,SURFRPM,TORQUEAV,PUMPAVG
0,4528.0,3.4159,3743.3499,109.8139,8.2179,214.9042
1,4528.1,3.3808399999998726,3743.3499,109.77305999999986,8.022299999999289,214.9096
2,4528.200000000001,3.345779999999745,3743.3499,109.7322199999997,7.826699999998577,214.91500000000005
3,4528.300000000001,3.310719999999617,3743.3499,109.69137999999955,7.631099999997865,214.9204000000001
4,4528.4000000000015,3.27565999999949,3743.3499,109.6505399999994,7.435499999997154,214.92580000000007
5,4528.500000000002,3.240599999999956,3743.349900000008,109.60970000000012,7.239900000002137,214.93120000000013
6,4528.600000000002,3.238159999999947,3743.757680000009,109.61674000000016,7.357420000002564,214.93840000000012
7,4528.700000000003,3.235719999999938,3744.1654600000106,109.62378000000018,7.474940000002992,214.94560000000016
8,4528.800000000003,3.233279999999929,3744.573240000012,109.6308200000002,7.59246000000342,214.9528000000002
9,4528.900000000003,3.23083999999992,3744.981020000013,109.63786000000025,7.709980000003847,214.96000000000024
10,4529.000000000004,3.2284000000000237,3745.388800000017,109.64490000000043,7.827500000005354,214.96720000000025
11,4529.100000000004,3.2290400000000257,3745.835260000018,109.65646000000046,7.97470000000589,214.9745800000003
12,4529.200000000004,3.229680000000028,3746.28172000002,109.66802000000052,8.121900000006425,214.98196000000036
13,4529.300000000005,3.23032000000003,3746.728180000021,109.67958000000054,8.269100000006961,214.98934000000037
14,4529.400000000005,3.2309600000000325,3747.1746400000234,109.6911400000006,8.416300000007496,214.9967200000004
15,4529.5000000000055,3.231599999999776,3747.6211000000953,109.70269999999977,8.563499999995932,215.00410000000048
16,4529.600000000006,3.227499999999761,3749.3702000001017,109.69831999999974,8.48895999999566,215.01302000000047
17,4529.700000000006,3.2233999999997462,3751.119300000108,109.69393999999971,8.41441999999539,215.0219400000005
18,4529.800000000007,3.219299999999732,3752.8684000001135,109.68955999999972,8.339879999995118,215.0308600000006
19,4529.900000000007,3.2151999999997165,3754.617500000121,109.6851799999997,8.265339999994847,215.0397800000006
20,4530.000000000007,3.21109999999968,3756.3666000001326,109.68079999999962,8.190799999993635,215.04870000000065
21,4530.100000000008,3.206699999999664,3758.19168000014,109.6755199999996,8.103319999993316,215.05772000000067
22,4530.200000000008,3.202299999999648,3760.016760000146,109.67023999999958,8.015839999992998,215.06674000000072
23,4530.300000000008,3.197899999999632,3761.841840000153,109.66495999999955,7.92835999999268,215.07576000000077
24,4530.400000000009,3.193499999999616,3763.6669200001593,109.65967999999954,7.840879999992362,215.0847800000008
25,4530.500000000009,3.18910000000014,3765.492000000002,109.65440000000252,7.7534000000075105,215.0937999999996
26,4530.6000000000095,3.1906400000001454,3765.514260000002,109.6819800000026,7.835980000007811,215.0897399999996
27,4530.70000000001,3.192180000000151,3765.5365200000015,109.70956000000272,7.918560000008111,215.0856799999996
28,4530.80000000001,3.1937200000001567,3765.5587800000026,109.7371400000028,8.001140000008412,215.0816199999996
29,4530.900000000011,3.1952600000001623,3765.5810400000023,109.76472000000292,8.083720000008713,215.0775599999996
30,4531.000000000011,3.196800000000214,3765.6032999999984,109.79230000000304,8.166300000009455,215.07349999999985
31,4531.100000000011,3.198760000000221,3765.587379999999,109.82030000000316,8.25294000000977,215.07217999999983
32,4531.200000000012,3.2007200000002283,3765.5714599999983,109.84830000000326,8.339580000010086,215.07085999999984
33,4531.300000000012,3.202680000000236,3765.5555399999994,109.87630000000335,8.426220000010401,215.06953999999985
34,4531.400000000012,3.2046400000002424,3765.539619999998,109.90430000000346,8.512860000010717,215.06821999999983
35,4531.500000000013,3.206600000004732,3765.5237000000857,109.93229999999718,8.599500000010694,215.0669000000489
36,4531.600000000013,3.2437600000048668,3766.193580000088,109.91021999999712,8.683480000010999,215.45052000005023
37,4531.7000000000135,3.280920000005002,3766.86346000009,109.88813999999702,8.767460000011305,215.83414000005163
38,4531.800000000014,3.318080000005137,3767.5333400000927,109.86605999999696,8.851440000011609,216.21776000005303
39,4531.900000000014,3.355240000005272,3768.203220000095,109.84397999999686,8.935420000011915,216.60138000005443
40,4532.000000000015,3.392400000005029,3768.873100000127,109.82189999999672,9.019400000010972,216.98500000005532
41,4532.100000000015,3.4269600000051548,3769.7473200001305,109.79931999999664,9.094800000011244,217.36520000005672
42,4532.200000000015,3.4615200000052804,3770.621540000133,109.77673999999656,9.17020000001152,217.7454000000581
43,4532.300000000016,3.4960800000054064,3771.4957600001367,109.75415999999647,9.245600000011796,218.12560000005948
44,4532.400000000016,3.530640000005532,3772.36998000014,109.73157999999638,9.321000000012068,218.50580000006084
45,4532.500000000016,3.5651999999951345,3773.24420000096,109.70899999999438,9.396399999978092,218.8860000000485
46,4532.600000000017,3.5354799999950264,3779.104460000981,109.67465999999426,9.262579999977604,219.1825400000496
47,4532.700000000017,3.5057599999949183,3784.964720001002,109.64031999999412,9.12875999997712,219.4790800000507
48,4532.8000000000175,3.47603999999481,3790.824980001024,109.605979999994,8.994939999976632,219.7756200000518
49,4532.900000000018,3.446319999994702,3796.685240001045,109.57163999999388,8.861119999976145,220.0721600000529
50,4533.000000000018,3.416599999995256,3802.5455000010033,109.53729999999506,8.727299999976527,220.36870000004905
51,4533.100000000019,3.390519999995161,3808.060420001024,109.51013999999496,8.598259999976058,220.63828000005
52,4533.200000000019,3.3644399999950663,3813.575340001044,109.48297999999488,8.46921999997559,220.907860000051
53,4533.300000000019,3.338359999994972,3819.090260001064,109.45581999999476,8.340179999975119,221.177440000052
