DEPTH,ABDCQF01,ABDCQF02,ABDCQF03,ABDCQF04,BS,CALI,DRHO,GR,NBGRCFM,NPHI,PEF,RACEHM,RACELM,RD,RHOB,RM,ROP,RPCEHM,RPCELM,RT
1873.6,,,,,17.5,,,77.7508,,,,0.7684,0.6871,0.7223,,0.8722,36.8806,0.8723,0.7224,0.8722
1873.7,,,,,17.5,,,78.834,,,,0.7787,0.6962,0.6976,,0.7502,36.8943,0.7502,0.6976,0.7502
1873.8,,,,,17.5,,,80.0573,,,,0.7642,0.6979,0.6668,,0.7019,36.908,0.702,0.6668,0.7019
1873.9,,,,,17.5,,,81.9168,,,,0.7655,0.7004,0.6546,,0.6748,36.9085,0.6748,0.6546,0.6748
1874.0,,,,,17.5,,,87.4243,,,,0.7749,0.6988,0.6457,,0.6742,36.9091,0.6742,0.6457,0.6742
1874.1,,,,,17.5,,,89.4308,,,,0.7778,0.6998,0.6448,,0.6691,36.9096,0.6691,0.6448,0.6691
1874.2,,,,,17.5,,,91.2264,,,,0.7714,0.6965,0.6394,,0.6799,36.9102,0.6799,0.6394,0.6799
1874.3,,,,,17.5,,,86.1641,,,,0.772,0.6981,0.6422,,0.6779,36.9108,0.6779,0.6422,0.6779
1874.4,,,,,17.5,,,84.6966,,,,0.7735,0.6972,0.6439,,0.678,36.9114,0.678,0.6439,0.678
1874.5,,,,,17.5,,,86.7765,,,,0.7677,0.6985,0.6478,,0.6878,36.8899,0.6878,0.6478,0.6878
1874.6,,,,,17.5,,,89.1492,,,,0.7623,0.6967,0.6554,,0.688,36.8684,0.688,0.6554,0.688
1874.7,,,,,17.5,,,89.1969,,,,0.7554,0.6962,0.6598,,0.6981,36.8469,0.6981,0.6598,0.6981
1874.8,,,,,17.5,,,87.5978,,,,0.7618,0.697,0.6622,,0.6861,36.8473,0.6861,0.6622,0.6861
1874.9,,,,,17.5,,,91.7552,,,,0.7714,0.6985,0.6543,,0.6849,36.8476,0.6849,0.6543,0.6849
1875.0,,,,,17.5,,,92.901,,,,0.7778,0.7014,0.6501,,0.6769,36.848,0.6769,0.6501,0.6769
1875.1,,,,,17.5,,,91.205,,,,0.7809,0.7011,0.6461,,0.6774,36.8486,0.6774,0.6461,0.6774
1875.2,,,,,17.5,,,90.8261,,,,0.7836,0.7033,0.6506,,0.6802,36.8492,0.6802,0.6506,0.6802
1875.3,,,,,17.5,,,91.4247,,,,0.7793,0.7018,0.6506,,0.6833,36.8495,0.6833,0.6506,0.6833
1875.4,,,,,17.5,,,87.9905,,,,0.774,0.7001,0.6544,,0.6891,36.7119,0.6891,0.6544,0.6891
