DEPTH,ABDCQF01,ABDCQF02,ABDCQF03,ABDCQF04,BS,CALI,DRHO,DT,DTS,GR,NPHI,PEF,RACEHM,RACELM,RHOB,ROP,RPCEHM,RPCELM,RT
481.1,,,,,26.0,,,,,66.7602,,,1.4243,1.3381,,55.3051,1.412,1.3392,1.412
481.2,,,,,26.0,,,,,63.223,,,1.4629,1.3292,,55.2587,1.393,1.3739,1.393
481.3,,,,,26.0,,,,,61.1381,,,1.4446,1.3307,,55.2812,1.3878,1.3637,1.3878
481.4,,,,,26.0,,,,,62.3676,,,1.4263,1.3321,,55.3036,1.3825,1.3533,1.3825
481.5,,,,,26.0,,,,,66.1487,,,1.4315,1.3346,,55.326,1.3519,1.3261,1.3519
481.6,,,,,26.0,,,,,67.853,,,1.4239,1.3299,,55.333,1.3757,1.3272,1.3757
481.7,,,,,26.0,,,,,67.4954,,,1.4244,1.3312,,55.3399,1.3806,1.3337,1.3806
481.8,,,,,26.0,,,,,64.3843,,,1.4248,1.3325,,55.3468,1.3854,1.3401,1.3854
481.9,,,,,26.0,,,,,61.6633,,,1.4279,1.3254,,55.3133,1.3341,1.3155,1.3341
482.0,,,,,26.0,,,,,60.7501,,,1.4286,1.3303,,55.2799,1.3711,1.318,1.3711
482.1,,,,,26.0,,,,,63.8466,,,1.4293,1.3352,,55.2459,1.4079,1.3205,1.4079
482.2,,,,,26.0,,,,,63.6022,,,1.431,1.3285,,55.0047,1.4193,1.3351,1.4193
482.3,,,,,26.0,,,,,64.2274,,,1.4318,1.338,,54.7635,1.3344,1.3391,1.3344
482.4,,,,,26.0,,,,,65.0368,,,1.4354,1.3312,,54.5238,1.3757,1.3408,1.3757
482.5,,,,,26.0,,,,,62.3898,,,1.4391,1.3245,,54.8195,1.4168,1.3424,1.4168
482.6,,,,,26.0,,,,,63.3171,,,1.4393,1.331,,55.1151,1.3661,1.3222,1.3661
482.7,,,,,26.0,,,,,63.8895,,,1.4352,1.331,,55.3986,1.3745,1.3332,1.3745
482.8,,,,,26.0,,,,,63.2305,,,1.4312,1.3311,,51.4851,1.383,1.3442,1.383
482.9,,,,,26.0,,,,,65.8617,,,1.4538,1.3331,,47.5717,1.4162,1.3385,1.4162
483.0,,,,,26.0,,,,,65.2173,,,1.4493,1.3389,,43.6553,1.3912,1.3488,1.3912
483.1,,,,,26.0,,,,,63.2741,,,1.4495,1.3434,,38.6924,1.3828,1.3549,1.3828
483.2,,,,,26.0,,,,,63.0279,,,1.4497,1.3479,,33.7296,1.3746,1.361,1.3746
483.3,,,,,26.0,,,,,63.5256,,,1.4609,1.3406,,28.7669,1.4218,1.3499,1.4218
483.4,,,,,26.0,,,,,64.6214,,,1.448,1.3434,,23.8776,1.3991,1.3505,1.3991
483.5,,,,,26.0,,,,,66.3457,,,1.4351,1.3462,,18.9882,1.3764,1.351,1.3764
483.6,,,,,26.0,,,,,65.6878,,,1.4434,1.3451,,14.1104,1.3358,1.3283,1.3358
483.7,,,,,26.0,,,,,66.3645,,,1.4535,1.3443,,13.2562,1.4347,1.3436,1.4347
483.8,,,,,26.0,,,,,67.5402,,,1.4436,1.3501,,12.4019,1.3886,1.3485,1.3886
483.9,,,,,26.0,,,,,66.6834,,,1.4337,1.3558,,11.5646,1.3426,1.3533,1.3426
484.0,,,,,26.0,,,,,66.2621,,,1.4505,1.3554,,16.5572,1.3482,1.3217,1.3482
484.1,,,,,26.0,,,,,65.9079,,,1.4442,1.3605,,21.5499,1.3903,1.3502,1.3903
484.2,,,,,26.0,,,,,65.3571,,,1.4379,1.3657,,26.5413,1.4322,1.3787,1.4322
484.3,,,,,26.0,,,,,63.8433,,,1.4622,1.3785,,31.1048,1.3775,1.3769,1.3775
484.4,,,,,26.0,,,,,64.031,,,1.4995,1.3765,,35.6682,1.4454,1.387,1.4454
484.5,,,,,26.0,,,,,65.0709,,,1.4932,1.3835,,40.2318,1.4364,1.3925,1.4364
484.6,,,,,26.0,,,,,67.2702,,,1.4871,1.3905,,44.8902,1.4275,1.3978,1.4275
484.7,,,,,26.0,,,,,65.1046,,,1.5092,1.3845,,49.5486,1.5049,1.3662,1.5049
484.8,,,,,26.0,,,,,64.286,,,1.5036,1.3927,,54.1938,1.4838,1.3787,1.4838
484.9,,,,,26.0,,,,,65.2454,,,1.498,1.4009,,54.2695,1.4629,1.3914,1.4629
485.0,,,,,26.0,,,,,61.7437,,,1.5328,1.4044,,54.3451,1.4932,1.4276,1.4932
485.1,,,,,26.0,,,,,62.6761,,,1.5416,1.4086,,54.421,1.4424,1.4022,1.4424
485.2,,,,,26.0,,,,,64.3093,,,1.5427,1.4163,,54.547,1.497,1.4124,1.497
485.3,,,,,26.0,,,,,62.0952,,,1.5438,1.4239,,54.673,1.5512,1.4227,1.5512
485.4,,,,,26.0,,,,,60.2995,,,1.5457,1.4222,,54.799,1.4795,1.4335,1.4795
485.5,,,,,26.0,,,,,60.0041,,,1.5513,1.4293,,54.9328,1.5338,1.4758,1.5338
485.6,,,,,26.0,,,,,60.9965,,,1.5594,1.4393,,55.0666,1.5227,1.4905,1.5227
485.7,,,,,26.0,,,,,57.7262,,,1.5676,1.4492,,55.1994,1.512,1.5051,1.512
485.8,,,,,26.0,,,,,59.0927,,,1.588,1.4417,,54.9583,1.6135,1.485,1.6135
485.9,,,,,26.0,,,,,62.9003,,,1.585,1.4487,,54.7172,1.5442,1.4867,1.5442
486.0,,,,,26.0,,,,,66.4569,,,1.5819,1.4556,,54.4755,1.4753,1.4883,1.4753
486.1,,,,,26.0,,,,,63.5934,,,1.5839,1.457,,54.0363,1.5567,1.4633,1.5567
486.2,,,,,26.0,,,,,61.3511,,,1.6019,1.4609,,53.5971,1.5277,1.4559,1.5277
486.3,,,,,26.0,,,,,60.5038,,,1.6196,1.4648,,53.1576,1.4988,1.4485,1.4988
486.4,,,,,26.0,,,,,62.4987,,,1.5599,1.4696,,52.6169,1.5332,1.493,1.5332
486.5,,,,,26.0,,,,,62.5685,,,1.589,1.4484,,52.0762,1.5356,1.446,1.5356
486.6,,,,,26.0,,,,,62.5473,,,1.5832,1.4565,,51.5361,1.5592,1.4676,1.5592
486.7,,,,,26.0,,,,,64.516,,,1.5774,1.4647,,51.1854,1.5823,1.4889,1.5823
486.8,,,,,26.0,,,,,67.8236,,,1.5792,1.4679,,50.8347,1.4798,1.4621,1.4798
486.9,,,,,26.0,,,,,67.5964,,,1.5485,1.4615,,50.485,1.5602,1.489,1.5602
487.0,,,,,26.0,,,,,63.9278,,,1.5559,1.4592,,50.4724,1.5631,1.4917,1.5631
487.1,,,,,26.0,,,,,58.0262,,,1.5633,1.457,,50.4598,1.5656,1.4943,1.5656
487.2,,,,,26.0,,,,,57.0862,,,1.5603,1.4539,,50.4471,1.4359,1.4517,1.4359
487.3,,,,,26.0,,,,,58.4922,,,1.5604,1.4552,,50.4069,1.4903,1.4562,1.4903
487.4,,,,,26.0,,,,,62.6437,,,1.5604,1.4564,,50.3668,1.5446,1.4608,1.5446
487.5,,,,,26.0,,,,,62.4271,,,1.5465,1.459,,50.3267,1.5861,1.4904,1.5861
487.6,,,,,26.0,,,,,61.2734,,,1.5524,1.4496,,50.3141,1.5054,1.4917,1.5054
487.7,,,,,26.0,,,,,59.7416,,,1.5597,1.4451,,50.3015,1.5264,1.489,1.5264
487.8,,,,,26.0,,,,,58.668,,,1.567,1.4406,,50.2888,1.5471,1.4863,1.5471
487.9,,,,,26.0,,,,,60.4474,,,1.5918,1.4448,,50.3021,1.5182,1.4404,1.5182
488.0,,,,,26.0,,,,,62.1949,,,1.5723,1.4365,,50.3153,1.5425,1.4404,1.5425
488.1,,,,,26.0,,,,,61.4284,,,1.5528,1.4281,,50.3286,1.5664,1.4405,1.5664
488.2,,,,,26.0,,,,,63.7463,,,1.5467,1.4412,,50.3437,1.4935,1.4863,1.4935
488.3,,,,,26.0,,,,,64.3086,,,1.543,1.4333,,50.3588,1.5012,1.4557,1.5012
488.4,,,,,26.0,,,,,63.6839,,,1.5392,1.4254,,50.3739,1.5088,1.4252,1.5088
488.5,,,,,26.0,,,,,66.4437,,,1.52,1.4309,,50.3586,1.5041,1.4153,1.5041
488.6,,,,,26.0,,,,,66.0012,,,1.5291,1.4394,,50.3434,1.4819,1.4472,1.4819
488.7,,,,,26.0,,,,,64.6347,,,1.5259,1.4331,,50.3282,1.4815,1.4441,1.4815
488.8,,,,,26.0,,,,,62.096,,,1.5228,1.4267,,50.3355,1.4812,1.441,1.4812
488.9,,,,,26.0,,,,,61.2564,,,1.5332,1.4293,,50.3427,1.5569,1.4549,1.5569
489.0,,,,,26.0,,,,,62.181,,,1.5569,1.4135,,50.35,1.5987,1.4555,1.5987
489.1,,,,,26.0,,,,,64.0862,,,1.5423,1.4153,,50.3512,1.5501,1.4426,1.5501
489.2,,,,,26.0,,,,,64.4378,,,1.5277,1.417,,50.3525,1.5017,1.4296,1.5017
